25.0, 13, 1222.07, 162.20
25.0, 12, 785.64, 334.23
25.0, 11, 522.90, 297.38
25.0, 9, 85.81, 604.73
25.0, 8, 635.97, 185.48
25.0, 7, 1014.94, 316.54
25.0, 6, 770.84, 596.62
25.0, 5, 912.39, 528.37
25.0, 4, 74.93, 121.11
25.0, 3, 179.93, 401.62
25.0, 2, 472.56, 417.02
25.0, 1, 1025.83, 425.82
26.0, 37, 1137.91, 60.92
26.0, 27, 243.54, 370.72
26.0, 25, 677.70, 134.57
26.0, 23, 1226.38, 451.90
26.0, 18, 401.84, 252.80
26.0, 16, 485.44, 162.57
26.0, 15, 200.45, 39.29
26.0, 13, 1222.58, 162.78
26.0, 12, 785.32, 332.62
26.0, 11, 522.86, 295.53
26.0, 9, 86.21, 605.29
26.0, 8, 635.83, 187.24
26.0, 7, 1016.32, 317.32
26.0, 6, 771.02, 595.42
26.0, 5, 911.74, 528.11
26.0, 4, 74.77, 120.99
26.0, 3, 179.14, 403.89
26.0, 2, 472.73, 414.78
26.0, 1, 1026.55, 429.74
27.0, 37, 1138.27, 61.91
27.0, 27, 244.04, 370.48
27.0, 23, 1223.57, 450.55
27.0, 18, 401.95, 253.93
27.0, 16, 485.63, 160.93
27.0, 15, 201.85, 39.00
27.0, 13, 1223.47, 164.38
27.0, 12, 785.07, 331.21
27.0, 11, 523.04, 293.28
27.0, 9, 86.61, 605.87
27.0, 8, 635.65, 187.08
27.0, 7, 1017.27, 317.12
27.0, 6, 771.03, 594.22
27.0, 5, 910.42, 527.60
27.0, 4, 74.73, 120.89
27.0, 3, 178.31, 405.75
27.0, 2, 473.33, 411.40
27.0, 1, 1027.73, 432.58
28.0, 37, 1138.86, 64.43
28.0, 27, 242.73, 369.79
28.0, 23, 1220.96, 447.79
28.0, 18, 403.04, 255.16
28.0, 16, 485.43, 159.24
28.0, 15, 203.76, 37.38
28.0, 13, 1225.50, 168.87
28.0, 12, 785.30, 328.11
28.0, 11, 524.04, 289.80
28.0, 9, 87.29, 608.01
28.0, 8, 635.84, 188.46
28.0, 7, 1019.56, 318.32
28.0, 6, 770.02, 591.90
28.0, 5, 906.06, 525.02
28.0, 4, 74.52, 120.81
28.0, 3, 177.29, 408.38
28.0, 2, 474.09, 405.10
28.0, 1, 1029.30, 435.04
29.0, 37, 1139.00, 66.96
29.0, 27, 242.49, 369.61
29.0, 23, 1218.98, 445.30
29.0, 18, 403.68, 257.54
29.0, 16, 485.47, 157.89
29.0, 15, 204.34, 36.50
29.0, 13, 1226.71, 171.30
29.0, 12, 785.39, 325.59
29.0, 11, 524.10, 287.34
29.0, 9, 88.31, 609.50
29.0, 8, 635.89, 189.99
29.0, 7, 1021.03, 320.79
29.0, 6, 768.79, 590.47
29.0, 5, 902.73, 524.19
29.0, 4, 74.59, 120.81
29.0, 3, 177.01, 409.82
29.0, 2, 475.01, 400.66
29.0, 1, 1030.60, 435.95
30.0, 37, 1139.27, 67.35
30.0, 27, 242.29, 369.42
30.0, 25, 676.57, 139.09
30.0, 23, 1217.58, 442.87
30.0, 18, 404.02, 259.21
30.0, 16, 485.48, 157.30
30.0, 15, 204.93, 35.58
30.0, 13, 1227.48, 173.27
30.0, 12, 785.02, 323.01
30.0, 11, 524.05, 285.41
30.0, 9, 88.94, 610.61
30.0, 8, 635.73, 191.73
30.0, 7, 1021.59, 324.06
30.0, 6, 768.30, 588.46
30.0, 5, 899.78, 524.40
30.0, 4, 74.60, 120.82
30.0, 3, 176.96, 410.52
30.0, 2, 475.55, 396.84
30.0, 1, 1031.84, 436.07
31.0, 40, 790.18, 105.28
